"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2026","293.00","294.25","295.00","292.75","8.06M","0.34%"
"01/16/2026","292.00","290.50","295.50","288.50","52.81M","1.48%"
"01/15/2026","287.75","280.75","288.75","280.50","52.64M","2.68%"
"01/14/2026","280.25","288.50","289.00","279.50","47.68M","-2.35%"
"01/13/2026","287.00","292.00","292.50","285.75","50.35M","-1.54%"
"01/12/2026","291.50","291.75","294.50","289.25","49.23M","0.00%"
"01/09/2026","291.50","296.00","298.00","290.25","51.36M","-1.02%"
"01/08/2026","294.50","291.00","295.75","286.50","60.71M","1.29%"
"01/07/2026","290.75","289.50","295.25","287.50","71.17M","0.78%"
"01/06/2026","288.50","279.00","289.25","279.00","60.29M","3.87%"
"01/05/2026","277.75","274.25","279.00","272.50","38.93M","1.28%"
"01/02/2026","274.25","271.00","274.25","269.75","28.89M","2.14%"
"12/31/2025","268.50","268.50","269.75","267.25","20.57M","0.28%"
"12/30/2025","267.75","265.00","269.75","264.75","32.53M","1.23%"
"12/29/2025","264.50","268.25","269.00","262.75","31.54M","-1.31%"
"12/26/2025","268.00","271.25","271.50","267.25","22.20M","-1.20%"
"12/25/2025","271.25","272.50","273.50","271.00","12.98M","0.00%"
"12/24/2025","271.25","271.00","272.50","269.25","26.07M","0.28%"
"12/23/2025","270.50","271.75","272.00","270.00","23.71M","-0.55%"
"12/22/2025","272.00","277.75","278.50","271.75","31.22M","-1.89%"
"12/19/2025","277.25","275.00","277.75","273.75","38.16M","1.00%"
"12/18/2025","274.50","274.50","277.25","273.25","38.60M","0.18%"
"12/17/2025","274.00","273.25","275.00","271.00","35.62M","0.27%"
"12/16/2025","273.25","274.50","276.00","272.25","36.68M","-0.36%"
"12/15/2025","274.25","273.25","276.25","272.00","34.56M","0.73%"
"12/12/2025","272.25","270.75","274.50","270.75","27.44M","1.02%"
"12/11/2025","269.50","271.25","272.50","269.25","27.75M","-0.37%"
"12/10/2025","270.50","272.00","275.75","270.25","37.19M","-0.37%"
"12/09/2025","271.50","273.00","273.25","270.50","27.16M","-0.28%"
"12/08/2025","272.25","271.75","273.75","271.75","30.89M","0.74%"
"12/05/2025","270.25","270.00","271.75","267.75","25.26M","0.09%"
"12/04/2025","270.00","275.50","277.25","269.25","31.92M","-2.00%"
"12/03/2025","275.50","281.25","283.50","275.50","35.79M","-1.25%"
"12/02/2025","279.00","277.00","281.75","276.25","38.45M","0.90%"
"12/01/2025","276.50","272.00","277.25","271.50","29.35M","1.37%"
"11/28/2025","272.75","272.75","276.75","271.50","31.50M","0.09%"
"11/27/2025","272.50","276.00","276.50","272.50","24.66M","-0.64%"
"11/26/2025","274.25","273.75","275.25","272.75","32.24M","0.37%"
"11/25/2025","273.25","271.00","279.00","270.00","53.95M","1.11%"
"11/24/2025","270.25","272.25","273.25","270.00","33.49M","-1.01%"
"11/21/2025","273.00","276.25","276.25","271.50","27.54M","-1.18%"
"11/20/2025","276.25","279.00","280.75","273.75","31.11M","-0.45%"
"11/19/2025","277.50","268.75","278.75","268.50","45.68M","3.74%"
"11/18/2025","267.50","267.50","269.75","266.75","22.73M","-0.37%"
"11/17/2025","268.50","270.75","271.50","266.75","29.68M","-0.19%"
"11/14/2025","269.00","270.50","271.00","267.00","28.46M","-0.74%"
"11/13/2025","271.00","269.25","274.50","269.25","34.97M","1.12%"
"11/12/2025","268.00","275.25","275.50","268.00","37.54M","-1.83%"
"11/11/2025","273.00","278.25","281.00","266.50","54.58M","-1.89%"
"11/10/2025","278.25","291.00","291.50","278.25","43.27M","-3.89%"
"11/07/2025","289.50","296.00","298.25","288.00","42.81M","-1.03%"
"11/06/2025","292.50","291.75","294.50","288.00","33.00M","0.86%"
"11/05/2025","290.00","289.50","292.00","287.25","37.59M","0.35%"
"11/04/2025","289.00","294.00","295.00","288.25","29.54M","-1.70%"
"11/03/2025","294.00","293.25","295.75","292.25","41.69M","0.86%"
"10/31/2025","291.50","290.25","293.25","289.00","28.39M","0.52%"
"10/30/2025","290.00","292.75","294.75","289.50","27.64M","-0.68%"
"10/28/2025","292.00","294.75","295.75","292.00","10.27M","-1.02%"
"10/27/2025","295.00","297.00","298.50","293.00","27.75M","-0.67%"
"10/24/2025","297.00","287.00","302.25","287.00","84.62M","4.49%"
"10/23/2025","284.25","288.50","290.25","283.75","40.56M","-1.30%"
"10/22/2025","288.00","295.50","296.00","287.00","42.48M","-2.21%"
"10/21/2025","294.50","298.50","298.75","293.00","30.46M","-1.09%"
"10/20/2025","297.75","293.25","300.25","290.00","51.52M","1.97%"
"10/17/2025","292.00","295.00","296.00","287.75","57.75M","-1.35%"
"10/16/2025","296.00","299.25","302.00","295.50","38.88M","-1.58%"
"10/15/2025","300.75","302.75","306.25","298.00","41.75M","-0.41%"
"10/14/2025","302.00","309.25","310.25","300.25","31.64M","-2.27%"
"10/13/2025","309.00","309.50","312.25","307.75","29.72M","-1.51%"
"10/10/2025","313.75","313.25","317.75","310.75","36.35M","0.40%"
"10/09/2025","312.50","316.75","318.25","310.75","37.07M","0.73%"
"10/08/2025","310.25","313.50","316.75","307.50","41.14M","-1.12%"
"10/07/2025","313.75","306.25","314.50","305.50","32.26M","2.70%"
"10/06/2025","305.50","312.50","317.00","304.00","40.20M","-1.77%"
"10/03/2025","311.00","316.00","317.25","310.75","31.18M","-1.27%"
"10/02/2025","315.00","315.75","318.50","314.50","39.86M","-0.24%"
"10/01/2025","315.75","315.50","318.75","311.75","44.24M","0.24%"
"09/30/2025","315.00","321.25","323.75","314.00","33.49M","-1.33%"
"09/29/2025","319.25","318.00","324.50","316.50","37.56M","-0.16%"
"09/26/2025","319.75","329.25","329.50","319.25","54.51M","-2.59%"
"09/25/2025","328.25","325.50","332.50","325.50","39.07M","1.31%"
"09/24/2025","324.00","326.00","327.50","317.75","42.76M","-0.23%"
"09/23/2025","324.75","323.00","327.50","320.00","40.02M","-0.38%"
"09/22/2025","326.00","327.50","330.25","324.50","43.89M","1.95%"
"09/19/2025","319.75","319.00","322.00","313.25","43.87M","0.63%"
"09/18/2025","317.75","323.00","326.00","317.00","34.92M","-1.17%"
"09/17/2025","321.50","327.00","327.25","321.25","34.23M","-1.68%"
"09/16/2025","327.00","331.50","331.50","325.00","40.23M","-1.43%"
"09/15/2025","331.75","313.25","332.50","310.25","52.03M","5.65%"
"09/12/2025","314.00","315.25","316.50","311.00","21.18M","-0.63%"
"09/11/2025","316.00","323.25","324.75","314.50","30.02M","-2.02%"
"09/10/2025","322.50","318.25","322.75","312.50","34.82M","1.82%"
"09/09/2025","316.75","310.75","320.75","310.50","40.49M","2.51%"
"09/08/2025","309.00","313.25","315.50","307.50","27.59M","-3.29%"
"09/05/2025","319.50","324.00","327.50","319.00","27.20M","-0.93%"
"09/04/2025","322.50","329.50","334.00","321.25","35.18M","-2.05%"
"09/03/2025","329.25","326.25","333.25","319.50","32.67M","0.53%"
"09/02/2025","327.50","335.50","336.00","316.50","35.96M","-1.96%"
"09/01/2025","334.06","331.58","336.78","331.34","17.82M","0.75%"
"08/29/2025","331.58","336.78","337.03","330.35","18.35M","-1.47%"
"08/28/2025","336.53","335.54","340.74","334.31","20.69M","0.37%"
"08/27/2025","335.30","341.48","342.47","335.05","22.12M","-1.38%"
"08/26/2025","340.00","335.30","342.72","334.31","34.87M","0.52%"
"08/25/2025","338.25","338.25","341.25","336.25","29.97M","0.22%"
"08/22/2025","337.50","337.50","339.00","334.00","23.04M","0.15%"
"08/21/2025","337.00","340.00","341.50","335.75","26.33M","-0.52%"
"08/20/2025","338.75","338.50","340.50","334.00","25.99M","0.07%"
"08/19/2025","338.50","334.75","339.50","330.00","33.94M","1.35%"
"08/18/2025","334.00","331.25","335.25","329.00","24.01M","0.91%"
"08/15/2025","331.00","326.25","331.25","324.75","24.85M","1.53%"
"08/14/2025","326.00","322.50","331.25","322.25","35.98M","0.54%"
"08/13/2025","324.25","320.75","325.00","317.25","31.59M","1.49%"
"08/12/2025","319.50","315.25","321.75","311.75","41.17M","1.19%"
"08/11/2025","315.75","316.75","317.75","311.75","34.54M","0.48%"
"08/08/2025","314.25","309.50","314.75","309.25","34.23M","1.70%"
"08/07/2025","309.00","309.75","311.75","306.00","40.81M","0.16%"
"08/06/2025","308.50","298.50","311.25","298.00","70.87M","4.40%"
"08/05/2025","295.50","296.25","298.00","295.25","22.23M","0.34%"
"08/04/2025","294.50","291.00","296.50","290.50","36.50M","1.99%"
"08/01/2025","288.75","288.50","290.75","286.75","29.06M","0.26%"
"07/31/2025","288.00","288.50","289.75","286.00","28.39M","0.26%"
"07/30/2025","287.25","285.50","289.00","285.25","22.92M","0.70%"
"07/29/2025","285.25","290.00","291.00","285.25","19.62M","-1.72%"
"07/28/2025","290.25","293.75","294.50","290.00","18.00M","-0.94%"
"07/25/2025","293.00","296.25","297.00","293.00","15.14M","-1.01%"
"07/24/2025","296.00","296.00","298.75","293.25","27.44M","0.51%"
"07/23/2025","294.50","298.75","299.50","293.75","24.71M","-0.93%"
"07/22/2025","297.25","294.50","298.25","294.50","37.36M","1.11%"
"07/21/2025","294.00","290.75","295.50","290.50","31.05M","1.73%"
"07/18/2025","289.00","289.50","291.75","287.50","33.28M","-0.09%"
"07/17/2025","289.25","289.50","290.50","285.00","29.73M","1.49%"
"07/16/2025","285.00","291.00","293.25","280.50","40.61M","-2.06%"
"07/14/2025","291.00","293.25","295.25","290.75","32.57M","-0.68%"
"07/11/2025","293.00","296.00","297.00","290.75","34.15M","0.69%"
"07/10/2025","291.00","289.50","293.25","289.25","34.80M","1.48%"
"07/09/2025","286.75","281.50","287.50","281.25","23.30M","2.23%"
"07/08/2025","280.50","289.25","291.25","279.00","30.03M","-2.43%"
"07/07/2025","287.50","288.50","291.25","286.50","22.48M","-1.79%"
"07/04/2025","292.75","292.25","295.25","291.25","22.88M","0.43%"
"07/03/2025","291.50","295.00","295.75","291.00","24.80M","0.17%"
"07/02/2025","291.00","290.75","296.00","288.50","36.96M","0.17%"
"07/01/2025","290.50","284.25","292.50","282.75","37.39M","2.47%"
"06/30/2025","283.50","269.25","284.00","268.50","60.84M","5.88%"
"06/27/2025","267.75","265.25","269.75","263.25","25.14M","0.94%"
"06/26/2025","265.25","271.75","272.75","265.00","17.08M","-2.30%"
